location,year,month,day,hour,minutes,seconds,temperature(C)
studyroom,2017,8,20,6,51,30,20.19
studyroom,2017,8,20,6,52,31,20.19
studyroom,2017,8,20,6,53,32,20.13
studyroom,2017,8,20,6,54,33,20.13
studyroom,2017,8,20,6,55,34,20.13
studyroom,2017,8,20,6,56,35,20.13
studyroom,2017,8,20,6,57,36,20.13
studyroom,2017,8,20,6,58,37,20.06
studyroom,2017,8,20,6,59,38,20.13
studyroom,2017,8,20,7,0,39,20.13
studyroom,2017,8,20,7,1,40,20.13
studyroom,2017,8,20,7,2,41,20.13
studyroom,2017,8,20,7,3,42,20.13
studyroom,2017,8,20,7,4,43,20.06
studyroom,2017,8,20,7,5,44,20.06
studyroom,2017,8,20,7,6,45,20.06
studyroom,2017,8,20,7,7,46,20.06
studyroom,2017,8,20,7,8,47,20.06
studyroom,2017,8,20,7,9,48,20.06
studyroom,2017,8,20,7,10,49,20.06
studyroom,2017,8,20,7,11,51,20.06
studyroom,2017,8,20,7,12,52,20.06
studyroom,2017,8,20,7,13,53,20.06
studyroom,2017,8,20,7,14,54,20.06
studyroom,2017,8,20,7,15,55,20.06
studyroom,2017,8,20,7,16,56,20.06
studyroom,2017,8,20,7,17,57,20.06
studyroom,2017,8,20,7,18,58,20.06
studyroom,2017,8,20,7,19,59,20.06
studyroom,2017,8,20,7,21,0,20.00
studyroom,2017,8,20,7,22,1,20.00
studyroom,2017,8,20,7,23,2,19.94
studyroom,2017,8,20,7,24,3,19.94
studyroom,2017,8,20,7,25,4,20.00
studyroom,2017,8,20,7,26,5,20.00
studyroom,2017,8,20,7,27,6,20.00
studyroom,2017,8,20,7,28,7,20.00
studyroom,2017,8,20,7,29,9,20.06
studyroom,2017,8,20,7,30,10,20.06
studyroom,2017,8,20,7,31,11,20.06
studyroom,2017,8,20,7,32,12,20.13
studyroom,2017,8,20,7,33,13,20.06
studyroom,2017,8,20,7,34,14,20.06
studyroom,2017,8,20,7,35,15,20.06
studyroom,2017,8,20,7,36,16,20.06
studyroom,2017,8,20,7,37,17,20.06
studyroom,2017,8,20,7,38,18,20.06
studyroom,2017,8,20,7,39,19,20.00
studyroom,2017,8,20,7,40,20,20.00
studyroom,2017,8,20,7,41,21,20.06
studyroom,2017,8,20,7,42,22,20.06
studyroom,2017,8,20,7,43,23,20.06
studyroom,2017,8,20,7,44,24,20.06
studyroom,2017,8,20,7,45,25,20.13
studyroom,2017,8,20,7,46,26,20.13
studyroom,2017,8,20,7,47,27,20.13
studyroom,2017,8,20,7,48,28,20.06
