year,month,day,hour,minutes,seconds,temperature(C)
2017,8,18,24,9,42,21.19
2017,8,18,24,9,52,21.19
2017,8,18,24,10,3,21.19
2017,8,18,24,10,14,21.19
2017,8,18,24,10,24,21.19
2017,8,18,24,10,35,21.19
2017,8,18,24,10,46,21.19
2017,8,18,24,10,56,21.19
2017,8,18,24,11,7,21.19
2017,8,18,24,11,18,21.19
2017,8,18,24,11,28,21.19
2017,8,18,24,11,39,21.19
2017,8,18,24,11,50,21.19
2017,8,18,24,12,0,21.19
2017,8,18,24,12,11,21.25
2017,8,18,24,12,21,21.25
2017,8,18,24,12,32,21.19
2017,8,18,24,12,43,21.19
2017,8,18,24,12,53,21.19
2017,8,18,24,13,4,21.19
2017,8,18,24,13,15,21.19
2017,8,18,24,13,25,21.19
2017,8,18,24,13,36,21.25
2017,8,18,24,13,47,21.19
2017,8,18,24,13,57,21.19
2017,8,18,24,14,8,21.19
2017,8,18,24,14,19,21.25
2017,8,18,24,14,29,21.19
2017,8,18,24,14,40,21.19
2017,8,18,24,14,51,21.19
2017,8,18,24,15,1,21.19
2017,8,18,24,15,12,21.19
2017,8,18,24,15,23,21.25
2017,8,18,24,15,33,21.25
2017,8,18,24,15,44,21.19
2017,8,18,24,15,55,21.19
2017,8,18,24,16,5,21.19
2017,8,18,24,16,16,21.19
2017,8,18,24,16,27,21.19
2017,8,18,24,16,37,21.19
2017,8,18,24,16,48,21.19
2017,8,18,24,16,59,21.19
2017,8,18,24,17,9,21.19
2017,8,18,24,17,20,21.19
2017,8,18,24,17,30,21.19
2017,8,18,24,17,41,21.19
2017,8,18,24,17,52,21.19
2017,8,18,24,18,2,21.19
2017,8,18,24,18,13,21.19
2017,8,18,24,18,24,21.19
2017,8,18,24,18,34,21.19
2017,8,18,24,18,45,21.19
2017,8,18,24,18,56,21.19
2017,8,18,24,19,6,21.19
2017,8,18,24,19,17,21.19
2017,8,18,24,19,28,21.19
2017,8,18,24,19,38,21.19
2017,8,18,24,19,49,21.19
2017,8,18,24,20,0,21.19
2017,8,18,24,20,10,21.19
2017,8,18,24,20,21,21.19
2017,8,18,24,20,32,21.19
2017,8,18,24,20,42,21.19
2017,8,18,24,20,53,21.19
2017,8,18,24,21,4,21.19
2017,8,18,24,21,14,21.19
2017,8,18,24,21,25,21.19
2017,8,18,24,21,35,21.19
2017,8,18,24,21,46,21.19
2017,8,18,24,21,57,21.12
2017,8,18,24,22,7,21.19
2017,8,18,24,22,18,21.12
2017,8,18,24,22,29,21.19
2017,8,18,24,22,39,21.19
2017,8,18,24,22,50,21.19
2017,8,18,24,23,1,21.19
2017,8,18,24,23,11,21.19
2017,8,18,24,23,22,21.19
2017,8,18,24,23,33,21.19
2017,8,18,24,23,43,21.19
2017,8,18,24,23,54,21.19
2017,8,18,24,24,5,21.19
2017,8,18,24,24,15,21.19
2017,8,18,24,24,26,21.19
2017,8,18,24,24,37,21.19
2017,8,18,24,24,47,21.19
2017,8,18,24,24,58,21.19
2017,8,18,24,25,9,21.19
2017,8,18,24,25,19,21.19
2017,8,18,24,25,30,21.12
2017,8,18,24,25,41,21.12
2017,8,18,24,25,51,21.12
2017,8,18,24,26,2,21.12
2017,8,18,24,26,13,21.12
2017,8,18,24,26,23,21.12
2017,8,18,24,26,34,21.12
2017,8,18,24,26,45,21.12
2017,8,18,24,26,55,21.12
2017,8,18,24,27,6,21.12
2017,8,18,24,27,17,21.12
2017,8,18,24,27,27,21.12
2017,8,18,24,27,38,21.12
2017,8,18,24,27,49,21.12
2017,8,18,24,27,59,21.12
2017,8,18,24,28,10,21.12
2017,8,18,24,28,20,21.12
2017,8,18,24,28,31,21.12
2017,8,18,24,28,42,21.12
2017,8,18,24,28,52,21.12
2017,8,18,24,29,3,21.12
2017,8,18,24,29,14,21.12
2017,8,18,24,29,24,21.12
2017,8,18,24,29,35,21.12
2017,8,18,24,29,46,21.12
2017,8,18,24,29,56,21.19
2017,8,18,24,30,7,21.19
2017,8,18,24,30,18,21.12
2017,8,18,24,30,28,21.12
2017,8,18,24,30,39,21.19
2017,8,18,24,30,50,21.19
2017,8,18,24,31,0,21.12
2017,8,18,24,31,11,21.12
2017,8,18,24,31,22,21.12
2017,8,18,24,31,32,21.12
2017,8,18,24,31,43,21.12
2017,8,18,24,31,54,21.12
2017,8,18,24,32,4,21.12
2017,8,18,24,32,15,21.12
2017,8,18,24,32,26,21.12
2017,8,18,24,32,36,21.12
2017,8,18,24,32,47,21.12
2017,8,18,24,32,58,21.12
2017,8,18,24,33,8,21.12
2017,8,18,24,33,19,21.12
2017,8,18,24,33,30,21.12
2017,8,18,24,33,40,21.12
2017,8,18,24,33,51,21.12
2017,8,18,24,34,2,21.12
2017,8,18,24,34,12,21.12
2017,8,18,24,34,23,21.12
2017,8,18,24,34,34,21.12
2017,8,18,24,34,44,21.12
2017,8,18,24,34,55,21.12
2017,8,18,24,35,6,21.12
2017,8,18,24,35,16,21.12
2017,8,18,24,35,27,21.12
2017,8,18,24,35,38,21.12
2017,8,18,24,35,48,21.12
2017,8,18,24,35,59,21.12
2017,8,18,24,36,10,21.12
2017,8,18,24,36,20,21.12
2017,8,18,24,36,31,21.12
2017,8,18,24,36,42,21.12
2017,8,18,24,36,52,21.12
2017,8,18,24,37,3,21.12
2017,8,18,24,37,13,21.12
2017,8,18,24,37,24,21.12
2017,8,18,24,37,35,21.12
2017,8,18,24,37,45,21.12
2017,8,18,24,37,56,21.12
2017,8,18,24,38,7,21.12
2017,8,18,24,38,17,21.12
2017,8,18,24,38,28,21.12
2017,8,18,24,38,39,21.12
2017,8,18,24,38,49,21.12
2017,8,18,24,39,0,21.12
2017,8,18,24,39,11,21.12
2017,8,18,24,39,21,21.12
2017,8,18,24,39,32,21.12
2017,8,18,24,39,43,21.12
2017,8,18,24,39,53,21.12
2017,8,18,24,40,4,21.12
2017,8,18,24,40,15,21.12
2017,8,18,24,40,25,21.12
2017,8,18,24,40,36,21.12
2017,8,18,24,40,47,21.12
2017,8,18,24,40,57,21.12
2017,8,18,24,41,8,21.12
2017,8,18,24,41,19,21.12
2017,8,18,24,41,29,21.12
2017,8,18,24,41,40,21.12
2017,8,18,24,41,51,21.12
2017,8,18,24,42,1,21.12
2017,8,18,24,42,12,21.12
2017,8,18,24,42,23,21.12
2017,8,18,24,42,33,21.12
2017,8,18,24,42,44,21.12
2017,8,18,24,42,55,21.12
2017,8,18,24,43,5,21.12
2017,8,18,24,43,16,21.12
2017,8,18,24,43,27,21.12
2017,8,18,24,43,37,21.12
2017,8,18,24,43,48,21.12
2017,8,18,24,43,59,21.12
2017,8,18,24,44,9,21.12
2017,8,18,24,44,20,21.12
2017,8,18,24,44,31,21.12
2017,8,18,24,44,41,21.12
2017,8,18,24,44,52,21.06
2017,8,18,24,45,3,21.06
2017,8,18,24,45,13,21.06
2017,8,18,24,45,24,21.06
2017,8,18,24,45,35,21.06
2017,8,18,24,45,45,21.06
2017,8,18,24,45,56,21.06
2017,8,18,24,46,7,21.06
2017,8,18,24,46,17,21.06
2017,8,18,24,46,28,21.06
2017,8,18,24,46,39,21.06
2017,8,18,24,46,49,21.06
2017,8,18,24,47,0,21.06
2017,8,18,24,47,11,21.12
2017,8,18,24,47,21,21.06
2017,8,18,24,47,32,21.06
2017,8,18,24,47,43,21.06
2017,8,18,24,47,53,21.06
2017,8,18,24,48,4,21.12
2017,8,18,24,48,15,21.06
2017,8,18,24,48,25,21.06
2017,8,18,24,48,36,21.12
2017,8,18,24,48,47,21.06
2017,8,18,24,48,57,21.12
2017,8,18,24,49,8,21.06
2017,8,18,24,49,19,21.12
2017,8,18,24,49,29,21.06
2017,8,18,24,49,40,21.06
2017,8,18,24,49,51,21.06
2017,8,18,24,50,1,21.12
2017,8,18,24,50,12,21.06
2017,8,18,24,50,23,21.06
2017,8,18,24,50,33,21.06
2017,8,18,24,50,44,21.06
2017,8,18,24,50,55,21.06
2017,8,18,24,51,5,21.12
2017,8,18,24,51,16,21.12
2017,8,18,24,51,27,21.12
2017,8,18,24,51,37,21.12
2017,8,18,24,51,48,21.12
2017,8,18,24,51,59,21.06
2017,8,18,24,52,9,21.06
2017,8,18,24,52,20,21.06
2017,8,18,24,52,31,21.06
2017,8,18,24,52,41,21.06
2017,8,18,24,52,52,21.06
2017,8,18,24,53,3,21.06
2017,8,18,24,53,13,21.06
2017,8,18,24,53,24,21.06
2017,8,18,24,53,35,21.06
2017,8,18,24,53,45,21.06
2017,8,18,24,53,56,21.06
2017,8,18,24,54,7,21.06
2017,8,18,24,54,17,21.06
2017,8,18,24,54,28,21.06
2017,8,18,24,54,39,21.06
2017,8,18,24,54,49,21.06
2017,8,18,24,55,0,21.06
2017,8,18,24,55,11,21.06
2017,8,18,24,55,21,21.06
2017,8,18,24,55,32,21.06
2017,8,18,24,55,43,21.06
2017,8,18,24,55,53,21.06
2017,8,18,24,56,4,21.06
2017,8,18,24,56,15,21.06
2017,8,18,24,56,25,21.06
2017,8,18,24,56,36,21.06
2017,8,18,24,56,47,21.06
2017,8,18,24,56,57,21.06
2017,8,18,24,57,8,21.06
2017,8,18,24,57,19,21.06
2017,8,18,24,57,29,21.06
2017,8,18,24,57,40,21.06
2017,8,18,24,57,51,21.06
2017,8,18,24,58,1,21.06
2017,8,18,24,58,12,21.06
2017,8,18,24,58,23,21.06
2017,8,18,24,58,33,21.00
2017,8,18,24,58,44,21.06
2017,8,18,24,58,55,21.06
2017,8,18,24,59,5,21.12
2017,8,18,24,59,16,21.12
2017,8,18,24,59,27,21.12
2017,8,18,24,59,37,21.12
2017,8,18,24,59,48,21.12
2017,8,18,24,59,59,21.12
2017,8,18,25,0,9,21.12
2017,8,18,25,0,20,21.12
2017,8,18,25,0,31,21.12
2017,8,18,25,0,42,21.12
2017,8,18,25,0,52,21.12
2017,8,18,25,1,3,21.12
2017,8,18,25,1,14,21.12
2017,8,18,25,1,24,21.12
2017,8,18,25,1,35,21.12
2017,8,18,25,1,46,21.12
2017,8,18,25,1,56,21.12
2017,8,18,25,2,7,21.06
2017,8,18,25,2,18,21.06
2017,8,18,25,2,28,21.06
2017,8,18,25,2,39,21.06
2017,8,18,25,2,50,21.12
2017,8,18,25,3,0,21.06
2017,8,18,25,3,11,21.06
2017,8,18,25,3,22,21.06
2017,8,18,25,3,32,21.12
2017,8,18,25,3,43,21.12
2017,8,18,25,3,54,21.12
2017,8,18,25,4,4,21.06
2017,8,18,25,4,15,21.06
2017,8,18,25,4,26,21.06
2017,8,18,25,4,36,21.12
2017,8,18,25,4,47,21.12
2017,8,18,25,4,58,21.12
2017,8,18,25,5,8,21.12
2017,8,18,25,5,19,21.06
2017,8,18,25,5,30,21.06
2017,8,18,25,5,40,21.06
2017,8,18,25,5,51,21.06
2017,8,18,25,6,2,21.06
2017,8,18,25,6,12,21.06
2017,8,18,25,6,23,21.06
2017,8,18,25,6,34,21.06
2017,8,18,25,6,44,21.00
2017,8,18,25,6,55,21.00
2017,8,18,25,7,6,21.00
2017,8,18,25,7,16,21.00
2017,8,18,25,7,27,21.00
2017,8,18,25,7,38,21.00
2017,8,18,25,7,48,21.00
2017,8,18,25,7,59,21.06
2017,8,18,25,8,10,21.06
2017,8,18,25,8,20,21.06
2017,8,18,25,8,31,21.06
2017,8,18,25,8,42,21.06
2017,8,18,25,8,52,21.00
2017,8,18,25,9,3,21.00
2017,8,18,25,9,14,21.00
2017,8,18,25,9,24,21.00
2017,8,18,25,9,35,21.00
2017,8,18,25,9,46,21.00
2017,8,18,25,9,56,21.00
2017,8,18,25,10,7,21.00
2017,8,18,25,10,18,21.00
2017,8,18,25,10,28,21.00
2017,8,18,25,10,39,20.94
2017,8,18,25,10,50,20.94
2017,8,18,25,11,0,21.00
2017,8,18,25,11,11,20.94
2017,8,18,25,11,22,20.94
2017,8,18,25,11,32,20.94
2017,8,18,25,11,43,20.94
2017,8,18,25,11,54,20.94
2017,8,18,25,12,4,20.94
2017,8,18,25,12,15,20.94
2017,8,18,25,12,26,21.00
2017,8,18,25,12,36,20.94
2017,8,18,25,12,47,20.94
2017,8,18,25,12,58,20.94
2017,8,18,25,13,8,20.94
2017,8,18,25,13,19,20.94
2017,8,18,25,13,30,20.94
2017,8,18,25,13,40,20.94
2017,8,18,25,13,51,20.94
2017,8,18,25,14,2,20.94
2017,8,18,25,14,12,20.94
2017,8,18,25,14,23,20.94
2017,8,18,25,14,34,20.94
2017,8,18,25,14,44,20.94
2017,8,18,25,14,55,20.94
2017,8,18,25,15,6,20.94
2017,8,18,25,15,16,20.94
2017,8,18,25,15,27,20.94
2017,8,18,25,15,38,20.94
2017,8,18,25,15,48,20.94
2017,8,18,25,15,59,20.88
2017,8,18,25,16,10,20.88
2017,8,18,25,16,20,20.88
2017,8,18,25,16,31,20.94
2017,8,18,25,16,42,20.94
2017,8,18,25,16,52,20.88
2017,8,18,25,17,3,20.88
2017,8,18,25,17,14,20.88
2017,8,18,25,17,25,20.88
2017,8,18,25,17,35,20.88
2017,8,18,25,17,46,20.88
2017,8,18,25,17,57,20.88
2017,8,18,25,18,7,20.88
2017,8,18,25,18,18,20.88
2017,8,18,25,18,29,20.88
2017,8,18,25,18,39,20.88
2017,8,18,25,18,50,20.88
2017,8,18,25,19,1,20.88
2017,8,18,25,19,11,20.94
2017,8,18,25,19,22,20.94
2017,8,18,25,19,33,20.94
2017,8,18,25,19,43,20.94
2017,8,18,25,19,54,20.88
2017,8,18,25,20,5,20.88
2017,8,18,25,20,15,20.88
2017,8,18,25,20,26,20.94
2017,8,18,25,20,37,20.94
2017,8,18,25,20,47,20.94
2017,8,18,25,20,58,20.88
2017,8,18,25,21,9,20.88
2017,8,18,25,21,19,20.88
2017,8,18,25,21,30,20.94
2017,8,18,25,21,41,20.88
2017,8,18,25,21,51,20.94
2017,8,18,25,22,2,20.94
2017,8,18,25,22,13,20.94
2017,8,18,25,22,23,20.88
2017,8,18,25,22,34,20.88
2017,8,18,25,22,45,20.88
2017,8,18,25,22,55,20.88
2017,8,18,25,23,6,20.88
2017,8,18,25,23,17,20.88
2017,8,18,25,23,27,20.81
2017,8,18,25,23,38,20.88
2017,8,18,25,23,49,20.81
2017,8,18,25,24,0,20.81
2017,8,18,25,24,10,20.81
2017,8,18,25,24,21,20.81
2017,8,18,25,24,32,20.81
2017,8,18,25,24,42,20.81
2017,8,18,25,24,53,20.81
2017,8,18,25,25,4,20.81
2017,8,18,25,25,14,20.81
2017,8,18,25,25,25,20.81
2017,8,18,25,25,36,20.81
2017,8,18,25,25,46,20.81
2017,8,18,25,25,57,20.81
2017,8,18,25,26,8,20.81
2017,8,18,25,26,18,20.81
2017,8,18,25,26,29,20.81
2017,8,18,25,26,40,20.81
2017,8,18,25,26,50,20.81
2017,8,18,25,27,1,20.81
2017,8,18,25,27,12,20.81
2017,8,18,25,27,22,20.81
2017,8,18,25,27,33,20.81
2017,8,18,25,27,44,20.81
2017,8,18,25,27,54,20.81
2017,8,18,25,28,5,20.81
2017,8,18,25,28,16,20.88
2017,8,18,25,28,27,20.81
2017,8,18,25,28,37,20.81
2017,8,18,25,28,48,20.81
2017,8,18,25,28,59,20.81
2017,8,18,25,29,9,20.81
2017,8,18,25,29,20,20.81
2017,8,18,25,29,31,20.81
2017,8,18,25,29,41,20.75
2017,8,18,25,29,52,20.81
2017,8,18,25,30,3,20.75
2017,8,18,25,30,13,20.75
2017,8,18,25,30,24,20.81
2017,8,18,25,30,35,20.75
2017,8,18,25,30,46,20.75
2017,8,18,25,30,56,20.75
2017,8,18,25,31,7,20.75
2017,8,18,25,31,18,20.75
2017,8,18,25,31,28,20.75
2017,8,18,25,31,39,20.81
2017,8,18,25,31,50,20.75
2017,8,18,25,32,0,20.75
2017,8,18,25,32,11,20.75
2017,8,18,25,32,22,20.81
2017,8,18,25,32,32,20.81
2017,8,18,25,32,43,20.81
2017,8,18,25,32,54,20.81
2017,8,18,25,33,4,20.81
2017,8,18,25,33,15,20.81
2017,8,18,25,33,26,20.81
